drug,location,sold_on,quantity_purchased,quantity_sold,keep
Acyclovir ,5,21-08-18,111,3,No
MAGALDRATE,10,09-03-18,102,8,No
ciprofloxacin ,12,12-01-18,112,7,No
Nitazoxanide ,2,11-02-19,27,1,No
RANITIDINE ,11,21-02-16,61,6,No
Ibuprofen ,13,28-11-16,133,4,No
RANITIDINE ,9,23-02-16,100,8,No
RANITIDINE ,9,03-11-16,49,3,No
ciprofloxacin ,4,19-02-18,106,3,No
Phenothiazines ,3,08-02-19,140,5,No
Hydroxychloroquine ,4,17-07-16,128,2,No
Panadol ,7,15-02-19,85,8,No
MAGALDRATE ,12,18-01-19,44,1,No
Vitamin K ,5,02-06-17,108,7,No
MAGALDRATE,3,28-08-18,66,8,No
MAGALDRATE ,5,31-01-19,14,10,Yes
Aminophylline ,11,17-06-16,133,5,No
Nitazoxanide ,5,09-01-18,107,2,No
MAGALDRATE,11,27-08-18,30,5,No
MAGALDRATE,7,08-08-16,119,2,No
Acyclovir ,9,05-08-16,123,4,No
Scopolamine ,10,31-08-17,106,1,No
MAGALDRATE ,12,28-07-18,96,5,No
Antihistamines ,2,30-11-16,49,4,No
Dantrolene ,4,06-01-17,115,8,No
DIPYRIDAMOLE ,2,02-11-17,77,7,No
Hydroxychloroquine ,2,07-01-19,14,6,No
Ibuprofen ,6,30-04-17,19,2,No
RANITIDINE ,2,30-03-19,59,10,No
Ibuprofen ,4,25-01-18,132,1,No
RANITIDINE ,4,23-04-18,87,5,No
PACLITAXEL ,4,09-03-16,81,8,No
Vitamin K ,6,09-10-18,90,6,No
MAGALDRATE ,7,11-11-16,27,10,No
Chloramphenicol ,5,17-04-16,127,6,No
Vitamin K ,10,19-05-17,89,3,No
Trimethoprim ,9,18-10-17,108,10,No
RANITIDINE ,10,14-07-18,139,10,No
Furazolidone ,11,01-05-18,67,4,No
Vitamin K ,12,20-11-18,53,7,No
Keratolytics ,5,06-03-16,136,7,No
Chloramphenicol ,5,05-03-16,43,6,No
PACLITAXEL ,5,03-09-18,131,9,No
MAGALDRATE ,2,18-03-18,98,3,No
Panadol ,12,02-11-17,27,3,No
Glucagon ,9,15-01-18,67,5,No
MAGALDRATE ,1,20-10-18,41,3,No
MAGALDRATE ,9,27-08-17,107,5,No
Aspirin ,13,11-06-18,26,6,No
PACLITAXEL ,9,08-01-17,58,6,No
Aspirin ,13,12-09-17,124,2,No
Vitamin K ,13,18-09-18,134,3,No
MAGALDRATE ,3,03-07-18,52,10,No
Paracetamol GV 500 ,8,26-05-17,90,2,No
Antihistamines ,8,16-06-18,23,6,No
RANITIDINE ,12,25-04-19,134,1,No
Ciprofloxacin ,2,20-06-18,44,3,No
Antihistamines ,5,01-03-16,89,4,No
Aspirin ,13,16-02-19,85,1,No
Aminophylline ,6,20-04-16,120,10,No
Vitamin K ,2,24-09-16,50,9,No
PACLITAXEL ,2,20-06-16,69,3,No
Ibuprofen ,3,11-06-17,132,9,No
RANITIDINE ,5,28-06-16,133,8,No
Keratolytics ,1,11-01-18,113,1,No
MAGALDRATE ,10,06-03-16,46,10,No
Aminophylline ,3,17-04-18,72,5,No
MAGALDRATE ,7,17-10-18,137,9,No
RANITIDINE ,5,23-06-17,25,8,No
ciprofloxacin ,9,08-02-18,22,7,No
Nitazoxanide ,6,20-01-19,116,2,No
Antihistamines ,4,22-05-17,45,4,No
RANITIDINE ,6,28-05-18,43,8,No
Methotrexate ,10,15-03-16,94,9,No
Ibuprofen ,2,07-01-16,19,2,No
Paracetamol GV 500 ,9,13-09-18,135,3,No
Panadol ,12,16-12-16,102,6,No
Paracetamol GV 500 ,1,03-09-18,42,2,No
Ciprofloxacin ,1,10-05-16,98,6,No
RANITIDINE ,12,18-04-17,45,7,No
Chloramphenicol ,5,05-04-16,89,8,No
Phenothiazines ,12,28-04-19,10,2,No
Aqueous gentian violet ,9,17-10-17,22,5,No
ciprofloxacin ,13,15-03-19,124,6,No
Hydroxychloroquine ,2,02-08-16,99,7,No
Vitamin K ,2,28-05-16,52,1,No
Acyclovir ,8,22-10-16,111,7,No
Phenothiazines ,3,26-06-16,31,3,No
Estrogens ,13,09-12-16,74,8,No
Aqueous gentian violet ,2,12-10-16,91,9,No
Phenothiazines ,1,10-07-16,118,5,No
FLUOXETINE ,13,20-01-18,94,3,No
SODIUM CHLORIDE ,6,01-10-18,92,10,No
Glucagon ,13,11-03-16,134,8,No
Keratolytics ,10,02-04-18,74,3,No
METRONIDAZOLE ,8,22-01-16,98,3,No
SODIUM CHLORIDE ,7,11-03-17,78,3,No
Adrenaline ,6,07-08-16,61,1,No
Vitamin K ,7,27-01-16,63,1,No
Glucagon ,5,05-12-16,25,10,No
FLUOXETINE ,8,06-07-16,131,10,No
Adrenaline ,11,29-05-18,132,4,No
Vitamin K ,11,14-04-16,140,4,No
Ciprofloxacin ,2,12-06-18,65,6,No
Aspirin ,6,01-06-16,52,10,No
Nitazoxanide ,5,17-06-16,133,1,No
MAGALDRATE ,2,03-04-17,126,10,No
Acetaminophen ,13,19-06-18,118,6,No
Furazolidone ,2,19-12-18,21,4,No
Nitazoxanide ,4,03-07-18,60,7,No
Chloramphenicol ,10,02-05-19,39,9,No
Chloramphenicol ,11,28-12-16,59,3,No
METRONIDAZOLE ,5,29-11-17,125,10,No
METRONIDAZOLE ,12,11-03-17,93,4,No
RANITIDINE ,9,05-04-18,72,4,No
Trimethoprim ,10,14-05-18,16,9,Yes
DIPYRIDAMOLE ,8,30-01-17,104,1,No
Glucagon ,6,19-06-16,40,6,No
Furazolidone ,1,25-06-17,102,1,No
Paracetamol GV 500 ,13,19-05-17,14,7,Yes
PACLITAXEL ,10,10-06-16,65,2,No
Aspirin ,7,05-01-17,10,8,Yes
RANITIDINE ,13,12-01-18,138,7,No
Ciprofloxacin ,4,31-10-16,132,9,No
MAGALDRATE ,11,27-12-16,57,4,No
Tetracycline ,1,01-03-16,109,1,No
Aspirin ,1,27-09-16,63,3,No
FLUOXETINE ,4,18-01-16,133,4,No
Hydroxychloroquine ,12,16-02-17,33,4,No
Chloramphenicol ,10,13-03-16,32,4,No
MAGALDRATE,4,29-09-16,125,7,No
Aqueous gentian violet ,7,02-12-17,27,7,No
Antihistamines ,13,09-04-16,38,8,No
Aspirin ,11,30-09-17,15,3,No
Aspirin ,9,21-01-16,54,5,No
MAGALDRATE ,2,19-06-16,81,6,No
Chloramphenicol ,12,26-10-17,85,6,No
Hydroxychloroquine ,5,12-03-16,96,10,No
Scopolamine ,13,18-10-16,34,9,No
PACLITAXEL ,8,18-03-17,75,3,No
Ciprofloxacin ,1,02-04-17,139,1,No
Estrogens ,11,17-03-18,20,10,Yes
RANITIDINE ,6,12-08-16,101,5,No
Aspirin ,2,25-03-16,136,6,No
Ibuprofen ,4,24-04-19,42,4,No
PACLITAXEL ,5,22-11-18,129,9,No
Nitazoxanide ,4,22-04-16,49,8,No
Methotrexate ,3,25-12-16,11,2,No
RANITIDINE ,4,02-05-19,85,6,No
Estrogens ,7,01-03-16,35,8,No
RANITIDINE ,1,12-08-16,71,6,No
Aspirin ,6,15-06-17,119,8,No
Dantrolene ,9,02-04-17,106,8,No
Antihistamines ,4,14-01-17,120,4,No
Estrogens ,8,29-01-18,136,2,No
Dantrolene ,1,31-01-18,27,3,No
Hydroxychloroquine ,2,26-04-18,80,9,No
RANITIDINE ,4,28-04-16,104,8,No
Dantrolene ,3,07-10-16,127,6,No
Paracetamol GV 500 ,8,25-02-18,49,4,No
Phenothiazines ,5,13-01-17,110,8,No
Paracetamol GV 500 ,6,19-09-18,40,9,No
Chloramphenicol ,6,02-10-17,37,2,No
Aminophylline ,9,29-10-16,22,7,No
Panadol ,7,13-04-17,10,8,Yes
Tetracycline ,4,15-08-18,75,10,No
Panadol ,8,22-04-17,40,1,No
Ibuprofen ,13,06-05-18,43,4,No
Hydroxychloroquine ,7,11-12-17,34,8,No
RANITIDINE ,6,15-11-18,125,10,No
Paracetamol GV 500 ,9,12-09-16,51,9,No
Aminophylline ,11,18-03-18,21,10,No
Scopolamine ,11,10-03-18,99,4,No
FLUOXETINE ,4,23-06-16,45,5,No
Antihistamines ,11,18-05-16,63,1,No
Trimethoprim ,3,10-12-16,125,10,No
Phenothiazines ,1,02-07-18,136,8,No
Acetaminophen ,2,18-02-18,84,9,No
Aspirin ,7,07-07-18,78,4,No
RANITIDINE ,9,25-08-18,20,2,No
Aqueous gentian violet ,1,30-09-16,113,6,No
Keratolytics ,9,22-01-19,76,2,No
MAGALDRATE,13,25-11-16,137,2,No
Panadol ,6,16-12-17,77,3,No
Paracetamol GV 500 ,13,15-12-18,39,2,No
Adrenaline ,9,04-11-18,116,8,No
ciprofloxacin ,13,22-08-17,59,2,No
DIPYRIDAMOLE ,11,11-07-17,42,7,No
Ciprofloxacin ,2,03-02-16,39,1,No
Chloramphenicol ,9,29-04-19,127,9,No
Antihistamines ,5,19-07-16,113,2,No
Ciprofloxacin ,8,03-04-19,62,8,No
ciprofloxacin ,5,01-11-18,59,9,No
Adrenaline ,3,16-12-16,39,8,No
Adrenaline ,11,27-03-19,98,7,No
ciprofloxacin ,1,28-01-19,53,1,No
Phenothiazines ,11,02-09-17,138,2,No
Vitamin K ,6,14-09-16,99,5,No
SODIUM CHLORIDE ,10,19-11-17,129,2,No
Acetaminophen ,3,16-12-16,76,8,No
MAGALDRATE ,2,10-01-16,69,1,No
Phenothiazines ,7,07-10-16,127,1,No
Paracetamol GV 500 ,7,27-04-17,127,6,No
Adrenaline ,8,16-11-18,17,5,No
Chloramphenicol ,11,29-06-18,78,7,No
Antihistamines ,2,13-08-16,33,10,No
Antihistamines ,4,09-02-18,15,3,No
Vitamin K ,1,14-11-16,110,9,No
MAGALDRATE,9,23-12-16,92,3,No
ciprofloxacin ,8,13-06-18,66,4,No
Vitamin K ,7,24-12-18,64,2,No
RANITIDINE ,10,13-03-18,104,7,No
Adrenaline ,13,03-01-18,69,2,No
Acetaminophen ,11,17-09-16,113,5,No
Methotrexate ,2,28-05-16,79,2,No
Ciprofloxacin ,12,26-03-16,68,4,No
Furazolidone ,11,06-02-16,100,9,No
Furazolidone ,12,17-07-16,37,6,No
Ciprofloxacin ,7,26-05-17,103,6,No
RANITIDINE ,11,04-10-16,64,8,No
Adrenaline ,8,23-08-18,28,2,No
ciprofloxacin ,9,26-04-18,76,7,No
Adrenaline ,6,26-04-17,18,5,No
RANITIDINE ,1,26-04-18,92,5,No
Estrogens ,8,19-09-17,123,8,No
PACLITAXEL ,9,09-11-16,36,9,No
Ibuprofen ,13,18-03-19,54,9,No
Acetaminophen ,1,12-04-17,26,2,No
Keratolytics ,10,10-02-18,94,10,No
Adrenaline ,10,12-10-18,26,2,No
MAGALDRATE ,5,16-01-17,46,5,No
Dantrolene ,4,10-11-17,82,9,No
Nitazoxanide ,10,08-03-17,40,8,No
Acetaminophen ,10,10-06-16,74,2,No
Chloramphenicol ,10,30-01-18,64,9,No
Hydroxychloroquine ,5,24-01-16,116,3,No
Antihistamines ,6,19-10-16,91,1,No
RANITIDINE ,11,27-01-16,15,8,Yes
MAGALDRATE ,13,06-06-17,59,7,No
Tetracycline ,13,02-03-18,100,8,No
Scopolamine ,1,25-06-17,74,2,No
PACLITAXEL ,5,07-01-17,36,9,No
Tetracycline ,1,15-10-16,74,10,No
Ciprofloxacin ,5,24-04-16,49,2,No
Keratolytics ,3,07-06-17,42,8,No
Adrenaline ,7,29-11-17,63,7,No
RANITIDINE ,6,26-08-18,37,3,No
Ciprofloxacin ,9,08-12-17,23,10,No
Aqueous gentian violet ,6,17-01-19,43,5,No
Paracetamol GV 500 ,2,05-09-16,43,10,No
RANITIDINE ,8,14-10-16,69,9,No
DIPYRIDAMOLE ,10,02-01-18,73,6,No
Dantrolene ,3,27-08-18,63,5,No
ciprofloxacin ,8,16-05-17,20,5,No
ciprofloxacin ,8,01-01-17,94,3,No
Nitazoxanide ,3,27-07-17,98,7,No
Vitamin K ,3,17-02-17,49,10,No
ciprofloxacin ,2,15-03-17,20,7,No
ciprofloxacin ,12,26-10-17,110,6,No
Furazolidone ,9,12-10-18,127,5,No
MAGALDRATE ,1,02-08-16,43,2,No
METRONIDAZOLE ,9,01-09-16,20,5,No
RANITIDINE ,5,14-12-17,78,8,No
Antihistamines ,2,20-05-18,97,3,No
Aqueous gentian violet ,2,20-09-18,85,5,No
PACLITAXEL ,5,26-09-16,34,6,No
Furazolidone ,7,05-11-16,45,10,No
Paracetamol GV 500 ,12,23-11-17,29,3,No
DIPYRIDAMOLE ,13,02-04-17,87,2,No
Methotrexate ,7,14-02-17,17,8,No
RANITIDINE ,9,05-07-17,124,8,No
Panadol ,12,26-07-17,121,8,No
Hydroxychloroquine ,3,05-01-17,79,9,No
MAGALDRATE,9,28-04-19,83,9,No
FLUOXETINE ,10,10-11-17,51,1,No
Vitamin K ,8,08-06-16,50,3,No
MAGALDRATE,10,21-03-19,35,8,No
Acyclovir ,12,18-12-17,79,2,No
MAGALDRATE ,11,02-02-19,35,3,No
Trimethoprim ,7,09-08-18,16,8,Yes
RANITIDINE ,9,27-11-16,38,9,No
METRONIDAZOLE ,8,21-06-16,114,2,No
Estrogens ,1,05-07-17,57,1,No
Adrenaline ,13,03-11-18,52,10,No
DIPYRIDAMOLE ,10,30-10-17,31,4,No
Tetracycline ,8,16-02-17,94,2,No
Aspirin ,11,17-07-18,53,2,No
Glucagon ,11,22-12-16,118,3,No
METRONIDAZOLE ,9,10-08-16,46,10,No
Paracetamol GV 500 ,7,27-04-19,126,3,No
Adrenaline ,2,05-07-17,94,6,No
Nitazoxanide ,12,19-07-18,98,8,No
Aminophylline ,13,14-04-18,29,3,No
Scopolamine ,13,04-09-16,76,8,No
Aminophylline ,10,29-11-16,18,1,No
Estrogens ,7,27-05-18,126,3,No
Ibuprofen ,6,29-08-18,89,10,No
RANITIDINE ,9,08-06-16,82,6,No
Keratolytics ,7,21-10-16,70,7,No
Furazolidone ,2,07-08-18,139,6,No
PACLITAXEL ,5,20-01-19,113,3,No
Acyclovir ,11,20-03-16,84,6,No
Estrogens ,13,26-06-18,75,5,No
Scopolamine ,10,04-10-17,17,4,No
Glucagon ,9,24-06-18,37,1,No
Aminophylline ,3,14-09-18,43,5,No
Nitazoxanide ,9,19-04-16,35,1,No
Adrenaline ,2,06-07-18,19,5,No
Glucagon ,3,29-09-16,129,1,No
Antihistamines ,12,13-03-16,66,1,No
Hydroxychloroquine ,1,09-07-18,33,3,No
Scopolamine ,13,03-02-19,40,1,No
SODIUM CHLORIDE ,2,21-07-17,49,7,No
Scopolamine ,12,30-01-18,77,6,No
Adrenaline ,6,28-06-16,92,7,No
Antihistamines ,2,02-09-17,72,9,No
MAGALDRATE ,4,07-01-18,25,3,No
PACLITAXEL ,6,27-04-18,114,10,No
MAGALDRATE ,5,08-09-18,10,10,Yes
Aminophylline ,2,26-09-16,95,7,No
RANITIDINE ,2,08-02-17,32,6,No
METRONIDAZOLE ,7,02-01-17,97,1,No
PACLITAXEL ,2,04-09-17,46,4,No
Dantrolene ,6,17-10-17,129,5,No
Methotrexate ,4,02-03-19,91,4,No
PACLITAXEL ,6,01-09-16,114,9,No
RANITIDINE ,1,26-10-17,74,1,No
Ibuprofen ,2,04-11-16,135,10,No
RANITIDINE ,12,29-07-17,122,3,No
Methotrexate ,4,12-10-18,109,8,No
Adrenaline ,1,13-01-19,19,8,No
Aminophylline ,6,07-02-18,84,2,No
Methotrexate ,4,04-03-17,82,1,No
Panadol ,7,30-04-19,77,9,No
Acetaminophen ,3,24-09-17,44,2,No
Scopolamine ,3,02-12-16,10,1,No
Methotrexate ,5,25-05-16,81,8,No
Keratolytics ,4,13-06-17,46,9,No
Adrenaline ,6,08-04-18,132,10,No
SODIUM CHLORIDE ,1,09-03-18,88,2,No
Paracetamol GV 500 ,5,21-03-17,95,7,No
RANITIDINE ,1,02-02-17,107,6,No
Ciprofloxacin ,6,12-11-17,110,10,No
Adrenaline ,13,10-06-17,23,2,No
FLUOXETINE ,10,14-03-18,112,6,No
Paracetamol GV 500 ,10,17-02-18,36,8,No
Ciprofloxacin ,10,19-01-16,138,3,No
PACLITAXEL ,11,15-01-16,40,3,No
Ibuprofen ,4,19-08-16,21,4,No
RANITIDINE ,9,25-09-17,22,3,No
Methotrexate ,2,26-02-18,126,4,No
DIPYRIDAMOLE ,1,14-02-18,85,5,No
RANITIDINE ,13,23-10-16,116,4,No
Paracetamol GV 500 ,9,11-09-18,14,7,Yes
Antihistamines ,1,11-04-17,124,5,No
Hydroxychloroquine ,8,27-08-16,93,5,No
Acyclovir ,4,09-03-16,57,5,No
Ibuprofen ,2,30-11-17,52,9,No
Hydroxychloroquine ,6,09-01-17,42,4,No
Dantrolene ,4,02-03-19,20,5,No
Scopolamine ,11,17-01-16,32,7,No
Nitazoxanide ,3,14-03-16,107,3,No
SODIUM CHLORIDE ,12,22-03-18,45,8,No
MAGALDRATE ,10,26-12-18,67,3,No
Vitamin K ,4,12-05-17,23,4,No
Aqueous gentian violet ,6,04-09-16,31,1,No
MAGALDRATE ,4,06-12-18,65,1,No
Trimethoprim ,8,18-10-16,60,9,No
Tetracycline ,13,09-08-17,94,3,No
Scopolamine ,7,19-01-19,129,5,No
Estrogens ,6,21-04-17,51,4,No
PACLITAXEL ,4,20-08-17,50,3,No
Panadol ,2,08-08-18,35,1,No
Tetracycline ,3,06-01-19,110,1,No
Aspirin ,12,24-02-17,104,1,No
Scopolamine ,5,01-09-18,43,8,No
Methotrexate ,2,25-11-18,126,6,No
SODIUM CHLORIDE ,2,20-10-18,66,3,No
RANITIDINE ,1,31-10-18,138,9,No
Dantrolene ,1,25-02-17,18,10,Yes
Adrenaline ,9,06-01-16,21,7,No
MAGALDRATE ,11,22-03-17,50,1,No
Keratolytics ,7,13-07-18,117,8,No
Adrenaline ,3,13-02-18,130,10,No
ciprofloxacin ,4,14-02-17,27,9,No
Adrenaline ,6,28-03-18,70,5,No
Phenothiazines ,5,26-05-18,130,8,No
Hydroxychloroquine ,4,03-06-16,15,8,Yes
Phenothiazines ,7,31-03-17,122,5,No
FLUOXETINE ,7,16-08-18,93,10,No
RANITIDINE ,3,12-02-16,75,6,No
Adrenaline ,1,17-04-18,12,3,No
Dantrolene ,3,25-02-18,127,1,No
Glucagon ,12,18-12-18,10,7,Yes
MAGALDRATE ,12,21-03-16,52,5,No
Estrogens ,10,26-12-17,24,10,No
MAGALDRATE ,9,13-02-17,18,7,No
Nitazoxanide ,11,04-06-17,133,10,No
Trimethoprim ,4,02-08-18,93,5,No
Adrenaline ,13,01-07-16,86,9,No
Estrogens ,11,22-12-18,56,10,No
METRONIDAZOLE ,8,12-05-18,92,3,No
Hydroxychloroquine ,10,27-01-18,88,2,No
ciprofloxacin ,8,14-03-16,36,8,No
Antihistamines ,8,04-02-18,135,9,No
PACLITAXEL ,9,29-08-16,107,5,No
Furazolidone ,2,16-01-17,12,7,Yes
Methotrexate ,9,17-04-17,87,10,No
Furazolidone ,7,05-01-16,114,6,No
Estrogens ,1,12-10-18,56,5,No
Vitamin K ,11,13-07-17,78,4,No
Vitamin K ,1,04-03-19,88,2,No
MAGALDRATE ,9,30-07-16,62,7,No
Acyclovir ,10,18-04-17,37,5,No
Ciprofloxacin ,3,18-07-17,18,7,No
Aminophylline ,4,04-05-17,117,3,No
Acyclovir ,2,03-01-17,113,7,No
Hydroxychloroquine ,11,22-01-19,47,3,No
Estrogens ,10,28-04-19,60,5,No
Vitamin K ,6,10-05-17,44,10,No
Aspirin ,4,19-06-17,104,2,No
Ciprofloxacin ,10,02-09-16,132,4,No
Hydroxychloroquine ,8,21-11-16,72,6,No
Estrogens ,13,03-03-16,75,7,No
Furazolidone ,9,27-09-18,54,5,No
Aqueous gentian violet ,1,12-03-18,115,3,No
Phenothiazines ,13,31-12-16,79,4,No
Phenothiazines ,13,25-07-18,53,4,No
Ibuprofen ,8,26-07-16,127,4,No
DIPYRIDAMOLE ,13,09-05-17,51,7,No
Hydroxychloroquine ,10,04-03-18,59,6,No
RANITIDINE ,5,23-10-18,139,9,No
Ciprofloxacin ,8,10-12-17,17,4,No
Ciprofloxacin ,4,10-07-16,136,4,No
MAGALDRATE ,5,02-11-18,19,2,No
Phenothiazines ,10,17-02-17,123,9,No
Adrenaline ,3,11-03-16,37,3,No
Scopolamine ,3,24-07-17,64,3,No
Nitazoxanide ,12,20-08-18,65,3,No
Scopolamine ,6,06-03-16,22,3,No
Phenothiazines ,3,07-08-17,104,6,No
FLUOXETINE ,6,20-07-18,121,3,No
DIPYRIDAMOLE ,2,25-12-18,27,6,No
Nitazoxanide ,3,09-10-16,115,4,No
Dantrolene ,4,17-06-16,30,8,No
MAGALDRATE ,7,16-07-16,71,4,No
Hydroxychloroquine ,12,01-08-17,57,10,No
Antihistamines ,4,20-12-18,21,2,No
MAGALDRATE,9,06-06-17,112,2,No
RANITIDINE ,3,12-05-18,71,10,No
ciprofloxacin ,5,22-10-16,64,10,No
Furazolidone ,13,01-06-17,59,4,No
Panadol ,7,27-09-16,97,2,No
Scopolamine ,9,09-08-16,33,4,No
Phenothiazines ,8,24-07-16,59,2,No
Dantrolene ,6,18-07-17,72,8,No
MAGALDRATE ,10,03-05-18,79,7,No
Hydroxychloroquine ,11,17-04-17,72,2,No
DIPYRIDAMOLE ,3,24-05-16,134,1,No
Ibuprofen ,10,24-07-16,47,7,No
Phenothiazines ,3,12-01-19,71,8,No
MAGALDRATE ,10,03-08-16,53,4,No
Vitamin K ,10,25-01-16,24,9,No
RANITIDINE ,5,12-01-17,25,9,No
Methotrexate ,6,03-07-18,39,4,No
RANITIDINE ,2,26-04-17,49,8,No
Methotrexate ,5,12-03-19,84,9,No
Ibuprofen ,2,27-11-16,10,7,Yes
Nitazoxanide ,6,12-10-18,80,7,No
Adrenaline ,2,18-08-17,25,1,No
FLUOXETINE ,8,25-05-17,18,6,No
Phenothiazines ,8,20-08-18,10,8,Yes
Phenothiazines ,7,08-01-17,24,10,No
Keratolytics ,13,03-04-17,74,4,No
Paracetamol GV 500 ,12,09-07-18,87,10,No
MAGALDRATE,7,27-05-17,109,7,No
RANITIDINE ,10,16-08-18,28,7,No
METRONIDAZOLE ,7,23-01-16,115,2,No
Phenothiazines ,8,02-04-18,84,4,No
Ciprofloxacin ,12,09-09-16,111,9,No
METRONIDAZOLE ,7,06-10-16,45,7,No
Trimethoprim ,9,16-05-18,85,7,No
Aqueous gentian violet ,1,22-07-16,30,7,No
Chloramphenicol ,12,24-12-16,19,8,No
SODIUM CHLORIDE ,13,17-02-16,121,1,No
Glucagon ,4,05-06-18,121,4,No
Aminophylline ,2,19-08-17,127,8,No
FLUOXETINE ,12,14-04-19,35,7,No
Acyclovir ,13,08-02-18,39,2,No
Trimethoprim ,2,27-08-17,115,8,No
DIPYRIDAMOLE ,5,08-05-17,65,6,No
SODIUM CHLORIDE ,13,13-03-18,22,5,No
Aqueous gentian violet ,4,23-11-16,66,9,No
Estrogens ,7,09-10-16,71,5,No
Acyclovir ,7,03-01-16,34,3,No
MAGALDRATE ,8,24-02-16,33,7,No
RANITIDINE ,8,20-09-16,33,9,No
Acetaminophen ,2,21-02-18,137,4,No
Hydroxychloroquine ,6,05-05-16,85,4,No
Dantrolene ,6,06-07-18,15,7,No
RANITIDINE ,9,19-04-17,42,1,No
PACLITAXEL ,9,17-10-17,16,9,Yes
MAGALDRATE ,3,02-06-16,65,5,No
Paracetamol GV 500 ,10,15-11-16,125,1,No
Scopolamine ,9,15-01-16,23,1,No
PACLITAXEL ,11,29-08-17,39,7,No
MAGALDRATE ,13,23-01-17,63,7,No
RANITIDINE ,5,31-10-16,110,6,No
RANITIDINE ,4,13-02-19,68,9,No
FLUOXETINE ,4,13-02-19,13,2,No
MAGALDRATE,2,15-02-17,43,2,No
Aqueous gentian violet ,6,17-12-18,106,9,No
Adrenaline ,5,07-10-18,73,10,No
FLUOXETINE ,1,15-02-19,51,7,No
Chloramphenicol ,1,28-02-19,98,2,No
Acyclovir ,4,01-06-16,73,6,No
Phenothiazines ,6,08-11-18,28,1,No
Aminophylline ,11,18-04-19,87,6,No
Acyclovir ,3,19-11-16,90,5,No
PACLITAXEL ,12,04-10-18,139,2,No
Aqueous gentian violet ,4,16-07-16,114,9,No
Aspirin ,1,29-02-16,10,5,Yes
Nitazoxanide ,13,08-03-19,59,6,No
Trimethoprim ,1,06-04-19,101,8,No
RANITIDINE ,8,30-05-16,131,4,No
Antihistamines ,1,09-01-19,42,9,No
Adrenaline ,4,28-10-17,115,2,No
FLUOXETINE ,1,14-07-16,130,7,No
Estrogens ,2,31-12-17,36,8,No
Adrenaline ,2,27-02-16,77,6,No
Glucagon ,10,08-07-18,18,6,No
MAGALDRATE ,7,28-10-16,14,4,No
Tetracycline ,11,24-06-18,114,5,No
ciprofloxacin ,13,17-07-18,80,9,No
Adrenaline ,11,03-12-18,117,4,No
FLUOXETINE ,4,21-03-18,110,9,No
Paracetamol GV 500 ,9,06-01-18,21,4,No
Nitazoxanide ,6,22-12-16,123,8,No
Aspirin ,9,03-04-18,38,9,No
DIPYRIDAMOLE ,13,30-06-17,134,1,No
Adrenaline ,4,25-03-19,14,4,No
MAGALDRATE,13,21-02-16,10,3,No
Tetracycline ,5,15-04-19,68,1,No
FLUOXETINE ,13,16-08-17,136,2,No
Panadol ,1,12-11-16,21,10,No
Antihistamines ,1,01-03-16,39,7,No
Ibuprofen ,9,02-11-16,73,5,No
Acetaminophen ,13,20-08-18,73,3,No
Phenothiazines ,2,23-08-16,26,1,No
RANITIDINE ,12,13-12-16,91,8,No
Tetracycline ,13,17-05-18,53,7,No
Acyclovir ,7,13-12-17,100,5,No
Vitamin K ,4,04-03-16,119,10,No
RANITIDINE ,11,09-11-17,80,5,No
RANITIDINE ,11,22-08-17,96,9,No
Aminophylline ,6,01-02-17,67,10,No
Hydroxychloroquine ,5,28-06-18,95,2,No
Trimethoprim ,9,01-09-16,49,4,No
Tetracycline ,10,22-05-17,137,3,No
Aqueous gentian violet ,6,09-04-19,104,7,No
PACLITAXEL ,3,07-12-17,38,6,No
Paracetamol GV 500 ,2,08-08-18,42,10,No
Acetaminophen ,2,07-03-16,48,3,No
Panadol ,9,04-05-16,90,8,No
DIPYRIDAMOLE ,9,20-06-16,79,9,No
Panadol ,13,26-05-17,13,10,Yes
Acetaminophen ,4,08-04-17,71,8,No
Tetracycline ,9,22-07-17,68,1,No
SODIUM CHLORIDE ,9,23-03-19,74,5,No
Ibuprofen ,2,02-12-18,136,10,No
Adrenaline ,9,24-04-19,79,8,No
Nitazoxanide ,11,10-04-16,104,3,No
Keratolytics ,7,09-01-19,124,1,No
Furazolidone ,7,19-08-18,37,4,No
Tetracycline ,4,09-04-19,51,3,No
Antihistamines ,13,17-12-17,54,5,No
Trimethoprim ,1,03-09-16,14,2,No
Scopolamine ,4,08-01-19,47,5,No
Aqueous gentian violet ,3,26-10-16,95,1,No
Ibuprofen ,1,24-03-18,57,10,No
DIPYRIDAMOLE ,8,06-02-19,54,10,No
FLUOXETINE ,11,10-12-18,88,7,No
Antihistamines ,4,25-02-19,47,3,No
Glucagon ,2,20-01-19,16,8,Yes
Aqueous gentian violet ,9,18-05-18,81,1,No
FLUOXETINE ,2,27-08-17,81,8,No
Dantrolene ,6,02-01-18,122,3,No
Methotrexate ,2,10-08-16,10,5,Yes
Vitamin K ,4,07-06-18,124,8,No
Nitazoxanide ,7,15-08-18,97,8,No
SODIUM CHLORIDE ,1,30-05-18,64,6,No
Nitazoxanide ,11,31-07-18,111,1,No
Methotrexate ,6,08-07-17,105,6,No
MAGALDRATE,12,06-07-16,53,5,No
RANITIDINE ,2,30-03-19,59,10,No
RANITIDINE ,11,02-09-17,26,2,No
Aqueous gentian violet ,9,03-05-16,42,9,No
